PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,SEASON
1642828,Ajae Petty,DAL,F,2025
1629524,Bridget Carleton,MIN,F,2025
1642797,Anastasiia Olairi Kosu,MIN,F,2025
1627701,Temi Fagbenle,GSV,F,2025
203416,Emma Meesseman,NYL,F,2025
204330,Isabelle Harrison,NYL,F,2025
1630142,Leonie Fiebich,NYL,F,2025
1631055,Nyara Sabally,NYL,F,2025
203826,Alyssa Thomas,PHX,C,2025
1627674,Kahleah Copper,PHX,F,2025
1628957,Kathryn Westbeld,PHX,F,2025
204319,Jewell Loyd,LVA,F,2025
204323,Cheyenne Parker-Tyus,LVA,F,2025
1628932,A'ja Wilson,LVA,C,2025
1629498,Jackie Young,LVA,G,2025
1631019,NaLyssa Smith,LVA,F,2025
204324,Dearica Hamby,LAS,C,2025
1628922,Azura Stevens,LAS,C,2025
1642210,Julie Vanloo,LAS,F,2025
1642287,Cameron Brink,LAS,F,2025
1631090,Christyn Williams,DAL,F,2025
1627675,Courtney Williams,MIN,G,2025
1627671,Rachel Banham,CHI,F,2025
1628915,Kia Nurse,CHI,F,2025
1630097,Kaila Charles,GSV,F,2025
1641656,Laeticia Amihere,GSV,F,2025
1629546,Marine Johannes,NYL,F,2025
1629568,Kennedy Burke,NYL,F,2025
1630149,Satou Sabally,PHX,F,2025
1630461,Kiana Williams,PHX,F,2025
1642777,Monique Akoa Makani,PHX,F,2025
204329,Kiah Stokes,LVA,F,2025
1642801,Aaliyah Nye,LVA,F,2025
1628276,Kelsey Plum,LAS,G,2025
1642782,Sarah Ashlee Barker,LAS,F,2025
1628899,Myisha Hines-Allen,DAL,F,2025
1641649,Diamond Miller,DAL,F,2025
1642784,Paige Bueckers,DAL,G,2025
1629483,Napheesa Collier,MIN,C,2025
1629491,Jessica Shepard,MIN,C,2025
1642320,Jaylyn Sherrod,MIN,F,2025
1642324,Kate Martin,GSV,F,2025
203822,Rebekah Gardner,NYL,F,2025
203855,Stephanie Talbot,NYL,F,2025
1627668,Breanna Stewart,NYL,C,2025
203833,Chelsea Gray,LVA,G,2025
1630389,Dana Evans,LVA,F,2025
1628242,Emma Cannon,LAS,F,2025
1642293,Alissa Pili,LAS,F,2025
1629501,Alanna Smith,MIN,F,2025
1629567,Natisha Hiedeman,MIN,F,2025
1642244,Sevgi Uzun,CHI,F,2025
1642289,Kamilla Cardoso,CHI,C,2025
1630387,Iliana Rupert,GSV,F,2025
1642304,Carla Leite,GSV,F,2025
1642822,Kaitlyn Chen,GSV,F,2025
1629477,Sabrina Ionescu,NYL,G,2025
1629490,Kitija Laksa,PHX,F,2025
1630442,Natasha Mack,PHX,F,2025
1642790,Sania Feagin,LAS,F,2025
1628926,Maria Kliundikova,MIN,F,2025
1642344,Camryn Taylor,MIN,F,2025
204296,Rebecca Allen,CHI,F,2025
1628508,Cecilia Zandalasini,GSV,F,2025
1628263,Lindsay Allen,CON,F,2025
1628278,Shatori Walker-Kimbrough,ATL,F,2025
1630471,Maya Caldwell,ATL,F,2025
1631044,Naz Hillmon,ATL,F,2025
1642804,Te-Hina Paopao,ATL,F,2025
1628886,Jordin Canada,ATL,G,2025
202250,Tina Charles,CON,F,2025
1629497,Marina Mabrey,CON,G,2025
1642290,Aaliyah Edwards,CON,F,2025
1642809,Saniya Rivers,CON,F,2025
1628269,Nia Coffey,ATL,F,2025
1631021,Sika Kone,ATL,F,2025
203863,Haley Peters,CON,F,2025
1642796,Rayah Marshall,CON,F,2025
1642841,Mamignan Toure,CON,F,2025
203398,Brittney Griner,ATL,F,2025
1631009,Rhyne Howard,ATL,G,2025
1642800,Aneesah Morrow,CON,C,2025
1628277,Allisha Gray,ATL,F,2025
1628280,Brionna Jones,ATL,C,2025
201886,DeWanna Bonner,PHX,F,2025
1627700,Julie Allemand,LAS,G,2025
1631141,Jade Melbourne,WAS,F,2025
204365,Erica Wheeler,SEA,F,2025
202252,Alysha Clark,WAS,F,2025
203828,Stefanie Dolson,WAS,F,2025
203024,Damiris Dantas,IND,F,2025
203035,Shey Peddy,IND,F,2025
1627672,Aerial Powers,IND,F,2025
1628931,Gabby Williams,SEA,G,2025
1642288,Rickea Jackson,LAS,F,2025
1630134,Sug Sutton,WAS,G,2025
1642785,Sonia Citron,WAS,F,2025
1642802,Lucy Olsen,WAS,F,2025
203824,Odyssey Sims,IND,G,2025
203014,Nneka Ogwumike,SEA,C,2025
203400,Skylar Diggins,SEA,G,2025
1628279,Brittney Sykes,SEA,G,2025
1631083,Emily Engstler,WAS,F,2025
1629488,Brianna Turner,IND,F,2025
204322,Elizabeth Williams,CHI,F,2025
1642792,Kiki Iriafen,WAS,C,2025
1628909,Kelsey Mitchell,IND,F,2025
1631086,Lexie Hull,IND,F,2025
1642815,Makayla Timpson,IND,F,2025
1629496,Ezi Magbegor,SEA,F,2025
1642798,Dominique Malonga,SEA,F,2025
1631022,Shakira Austin,WAS,F,2025
1642810,Madison Scott,WAS,F,2025
203827,Natasha Howard,IND,C,2025
1641648,Aliyah Boston,IND,C,2025
1631022,Shakira Austin,WAS,C,2024
1628890,Diamond DeShields,CHI,F,2024
1631006,Kierstan Bell,LVA,F,2025
1642788,Bree Hall,IND,F,2025
1642303,Leila Lacan,CON,G,2025
1642291,Angel Reese,CHI,C,2024
1627676,Tiffany Mitchell,SEA,F,2025
1628878,Ariel Atkins,CHI,G,2025
1630462,Aari McDonald,LAS,G,2024
1642291,Angel Reese,CHI,C,2025
1630096,DiJonai Carrington,MIN,F,2025
1642813,Serena Sundell,DAL,F,2025
203855,Stephanie Talbot,LVA,F,2026
1629488,Brianna Turner,LVA,F,2026
1631006,Kierstan Bell,LVA,F,2026
1643479,Ndjakalenga Mwenentanda,GSV,F,2026
1629498,Jackie Young,LVA,G,2026
203026,Tiffany Hayes,GSV,F,2026
204329,Kiah Stokes,GSV,F,2026
1628931,Gabby Williams,GSV,F,2026
