SEASON,GP,W,OPP_FGM,OPP_FGA,OPP_FG3M,OPP_FG3A,OPP_FTM,OPP_FTA,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,OPP_PTS,PLUS_MINUS,MIN,L,W_PCT,OPP_FG_PCT,OPP_FG3_PCT,OPP_FT_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_PF_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,OPP_BLKA,OPP_PFD,OPP_BLKA_RANK,OPP_PFD_RANK,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
2024-25,82,26,40.5,84.3,12.9,35.7,18.4,23.6,10.1,33.6,43.7,27.1,14.1,8.0,5.6,18.9,112.2,-7.1,241.2,56,0.317,0.48,0.362,0.779,2,25,6,25,14,6,2,26,5,5,17,26,25,16,4,21,11,19,19,13,27,17,10,26,0.0,0.0,1,1,1610612751,Brooklyn Nets,BKN
2025-26,56,15,42.1,85.6,12.4,33.2,18.1,23.1,10.1,33.0,43.1,27.2,13.1,9.0,5.0,19.6,114.7,-7.9,241.3,41,0.268,0.492,0.374,0.784,20,28,4,28,11,16,2,29,6,2,29,13,13,15,1,15,10,20,10,24,18,11,12,28,0.0,0.0,1,1,1610612751,Brooklyn Nets,BKN
2023-24,77,47,40.3,85.6,12.4,34.2,15.1,19.9,10.3,30.5,40.8,25.7,13.2,6.6,5.3,19.2,108.2,4.4,240.6,30,0.61,0.471,0.361,0.762,23,7,24,7,23,4,2,13,9,12,12,4,4,1,10,1,2,8,10,4,21,21,2,6,0.0,0.0,1,1,1610612752,New York Knicks,NYK
2024-25,82,51,41.6,87.7,13.1,35.7,15.4,19.5,10.9,31.0,41.8,25.2,13.9,7.0,5.0,19.0,111.7,4.1,242.4,31,0.622,0.474,0.367,0.789,2,4,25,5,2,15,7,22,9,5,26,4,4,23,11,2,2,7,18,3,16,21,9,8,0.0,0.0,1,1,1610612752,New York Knicks,NYK
2025-26,58,37,39.9,86.8,13.8,38.5,18.3,23.5,10.3,31.6,41.9,24.7,13.9,7.2,4.6,19.4,111.8,5.7,241.3,21,0.638,0.459,0.358,0.777,2,4,25,5,11,5,5,7,20,23,13,15,15,8,3,9,5,4,15,2,8,9,7,5,0.0,0.0,1,1,1610612752,New York Knicks,NYK
2023-24,78,44,39.9,84.2,11.5,32.2,17.2,22.0,9.0,31.0,40.0,24.0,14.9,8.0,4.7,20.9,108.6,1.6,241.3,34,0.564,0.474,0.356,0.783,1,12,16,13,16,2,1,19,4,4,9,15,18,14,1,3,1,1,28,22,7,30,4,15,0.0,0.0,1,1,1610612753,Orlando Magic,ORL
2024-25,82,41,38.1,81.5,11.4,31.3,18.0,23.4,9.2,33.0,42.3,22.8,15.3,7.8,4.4,20.4,104.3,-0.2,240.6,41,0.5,0.467,0.364,0.766,2,15,15,15,23,2,1,15,1,1,20,22,24,3,1,14,4,1,29,9,8,30,1,17,0.0,0.0,1,1,1610612753,Orlando Magic,ORL
2025-26,56,30,41.7,87.5,11.8,33.1,19.4,24.9,10.7,33.2,43.9,25.2,14.5,7.9,5.3,21.7,114.7,0.5,242.2,26,0.536,0.477,0.357,0.782,20,15,17,14,5,13,7,22,2,1,12,23,25,12,5,17,14,8,19,8,22,27,12,15,0.0,0.0,1,1,1610612753,Orlando Magic,ORL
2023-24,76,41,44.4,89.6,10.8,29.4,20.4,26.0,11.1,32.3,43.4,24.7,13.9,6.7,5.2,18.1,120.0,2.0,240.3,35,0.539,0.496,0.366,0.784,27,17,13,17,26,24,19,30,1,1,17,30,30,16,25,11,15,4,19,5,19,9,28,12,0.0,0.0,1,1,1610612754,Indiana Pacers,IND
2024-25,82,50,42.6,89.9,12.9,36.3,17.0,22.0,11.2,33.8,45.0,26.0,14.2,7.2,4.5,18.8,115.1,2.2,242.1,32,0.61,0.474,0.355,0.773,2,6,22,7,4,21,18,22,5,8,8,16,19,8,15,22,20,12,20,4,10,16,17,12,0.0,0.0,1,1,1610612754,Indiana Pacers,IND
