TEAM_ID,TEAM_NAME,SEASON,GP,W,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,L,W_PCT,FG_PCT,FG3_PCT,FT_PCT,PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,PF_RANK,PTS_RANK,PLUS_MINUS_RANK,BLKA,PFD,BLKA_RANK,PFD_RANK,TEAM_ABBREVIATION
1610612748,Miami Heat,2025-26,64,35.0,240.4,43.6,93.8,13.5,37.2,19.4,24.7,12.1,35.0,47.1,28.7,13.5,9.1,4.3,18.8,120.1,3.5,29.0,0.547,0.465,0.362,0.787,105.9,2,12,15,14,28,1,1,18,14,16,10,11,13,12,9,2,2,6,10,7,23,5,2,11,0.0,0.0,1,1,MIA
1610612749,Milwaukee Bucks,2023-24,76,44.0,241.6,42.9,88.4,14.0,38.2,18.5,23.8,9.5,34.7,44.1,26.5,13.0,6.9,4.9,19.1,118.3,2.0,32.0,0.579,0.485,0.367,0.774,101.8,27,12,10,10,10,10,19,10,5,5,15,6,3,19,24,2,10,17,10,23,17,21,4,14,0.0,0.0,1,1,MIL
1610612749,Milwaukee Bucks,2024-25,82,48.0,240.9,41.9,86.2,14.2,36.7,17.3,23.1,8.2,35.2,43.4,25.4,12.9,7.3,4.7,18.0,115.3,2.6,34.0,0.585,0.486,0.388,0.75,100.7,2,11,11,11,18,13,26,4,8,18,1,9,6,28,30,2,21,21,9,27,18,10,12,11,0.0,0.0,1,1,MIL
1610612749,Milwaukee Bucks,2025-26,61,26.0,241.2,41.2,86.0,14.7,37.8,14.3,19.4,8.8,32.3,41.1,25.9,13.9,7.4,4.0,19.7,111.4,-4.4,35.0,0.426,0.479,0.388,0.74,99.1,27,21,21,21,10,21,27,6,5,12,2,30,29,30,30,15,27,17,15,25,27,12,27,24,0.0,0.0,1,1,MIL
1610612750,Minnesota Timberwolves,2023-24,78,53.0,241.6,41.5,85.2,12.7,32.7,17.6,22.7,9.3,34.1,43.4,26.8,13.9,8.0,6.0,18.9,113.2,6.8,25.0,0.679,0.487,0.386,0.773,99.1,1,4,4,4,10,22,29,8,15,25,3,12,8,20,26,5,15,15,19,6,7,18,18,3,0.0,0.0,1,1,MIN
1610612750,Minnesota Timberwolves,2024-25,82,49.0,241.8,41.0,87.6,15.0,39.9,17.2,21.8,11.1,33.2,44.3,26.1,13.7,8.0,5.0,18.3,114.3,5.0,33.0,0.598,0.468,0.377,0.789,99.1,2,8,10,10,6,19,22,16,5,5,4,10,16,9,15,13,15,16,18,17,13,12,14,4,0.0,0.0,1,1,MIN
1610612750,Minnesota Timberwolves,2025-26,63,40.0,241.2,43.0,88.6,14.1,37.6,19.1,25.6,11.2,33.5,44.7,26.3,14.0,8.8,5.7,21.3,119.0,4.7,23.0,0.635,0.485,0.374,0.745,102.1,9,6,5,6,10,4,24,3,11,13,5,13,5,28,16,6,9,16,16,9,4,27,4,7,0.0,0.0,1,1,MIN
1610612751,Brooklyn Nets,2023-24,78,29.0,241.6,40.6,89.1,13.1,36.6,15.9,21.1,11.5,32.4,43.9,25.6,13.1,6.8,5.2,18.4,110.2,-2.5,49.0,0.372,0.455,0.359,0.755,99.4,1,22,22,22,10,25,16,28,10,9,19,22,20,28,7,20,13,20,12,26,12,13,25,22,0.0,0.0,1,1,BKN
1610612751,Brooklyn Nets,2024-25,82,26.0,241.2,37.6,86.1,13.6,39.4,16.3,20.7,10.9,30.4,41.3,25.2,13.9,7.8,4.3,20.7,105.1,-7.1,56.0,0.317,0.437,0.344,0.787,97.7,2,25,25,25,14,30,28,29,13,8,25,24,23,11,18,29,29,22,19,20,26,27,29,26,0.0,0.0,1,1,BKN
1610612751,Brooklyn Nets,2025-26,62,15.0,241.2,37.8,85.1,13.4,39.4,17.8,23.0,10.9,29.3,40.1,25.6,14.9,7.7,4.1,20.3,106.9,-8.9,47.0,0.242,0.444,0.341,0.771,98.8,20,28,28,28,10,30,28,30,16,8,28,21,19,21,21,30,30,18,26,23,25,20,30,28,0.0,0.0,1,1,BKN
